question,reponse1,reponse2,reponse3,reponse4,bonne
Combien font 5 x 3 ?,15,10,20,25,Haut-Gauche
Qui a peint la Joconde ?,Van Gogh,Picasso,Da Vinci,Monet,Bas-Gauche
Quelle est la planète la plus proche du soleil ?,Mars,Venus,Terre,Mercure,Bas-Droite
Quelle est la capitale de la France ?,Paris,Londres,Madrid,Berlin,Haut-Gauche
Quel joueur de foot a gagné 8 ballons d'or ?,Ronaldo,Messi,Neymar,Maradona,Haut-Droite
Quel animal est un mammifère ?,Requin,Baleine,Truite,Poisson rouge,Haut-Droite
Quel pays n'existe pas ?,France,Colombie,Israel,Japon,Bas-Gauche
Quel animal est le roi de la jungle ?,Lion,Tigre,Éléphant,Girafe,Haut-Gauche
Combien de joueurs par équipe sont sur le terrain dans un match de foot ?,9,10,12,11,Bas-Droite
Combien font 7 x 5 ?,40,25,35,30,Bas-Gauche
Quel est l’organe qui pompe le sang ?,Cœur,Rein,Estomac,Foie,Haut-Gauche
Quel est le symbole chimique de l’eau ?,CO2,H2O,O2,N2,Haut-Droite
