question,reponse1,reponse2,reponse3,reponse4,bonne
Quelle est la capitale de la France ?,Paris,Londres,Madrid,Berlin,Haut-Gauche
Combien font 5 x 3 ?,15,10,20,25,Haut-Gauche
Qui a peint la Joconde ?,Van Gogh,Picasso,Da Vinci,Monet,Bas-Gauche
Quelle est la planète la plus proche du soleil ?,Mars,Venus,Terre,Mercure,Bas-Droite
Quel joueur de foot a gagné 8 ballons d'or ?,Ronaldo,Messi,Neymar,Maradona,Haut-Droite
Quel pays n'existe pas ?,France,Colombie,Israel,Japon,Bas-Gauche
Dans quelle ville se situe le collège de Maisonneuve ?,Montréal,Paris,Québec,Marseille,Haut-Gauche
Quel animal est un mammifère ?,Requin,Baleine,Truite,Poisson rouge,Haut-Droite
Quel est le symbole chimique de l’or ?,Au,Ag,Fe,Or,Bas-Droite
Qui a écrit "Les Misérables" ?,Victor Hugo,Émile Zola,Alexandre Dumas,Gustave Flaubert,Haut-Gauche
Quel océan borde la côte Est des États-Unis ?,Atlantique,Indien,Pacifique,Arctique,Bas-Gauche
En quelle année a eu lieu la chute du mur de Berlin ?,1987,1989,1991,1993,Haut-Droite
