question,reponse1,reponse2,reponse3,reponse4,bonne
Quel pays a le plus grand nombre d’îles ?,Indonésie,Philippines,Norvège,Suède,Bas-Droite
Combien de planètes naines sont officiellement reconnues par l’IAU ?,5,7,9,3,Haut-Gauche
Qui a formulé la théorie de la relativité restreinte ?,Newton,Einstein,Galilée,Bohr,Haut-Droite
Combien de protons a l’uranium ?,86,88,92,90,Bas-Gauche
Quelle est la valeur exacte de π jusqu'à 10 décimales ?,3.1415926535,3.1415926536,3.1415926534,3.1415926537,Haut-Gauche
Quel élément chimique a pour numéro atomique 79 ?,Platine,Argent,Or,Cuivre,Bas-Gauche
Combien y a t-il de chromosomes dans une cellule humaine ?,42,44,48,46,Bas-Droite
Quelle est la racine carrée de 1936 ?,43,45,44,42,Bas-Gauche
Qui a écrit "L'Art de la guerre" ?,Sun Tzu,Sun Bin,Confucius,Laotse,Haut-Gauche
Quelle est la formule chimique de l'acide sulfurique ?,HCl,H2SO4,NaOH,HNO3,Haut-Droite
Qui a inventé le premier moteur à combustion interne ?,James Watt,Nikolaus Otto,Henry Ford,Thomas Edison,Haut-Droite
Quel est le plus long fleuve d’Asie ?,Indus,Gange,Mékong,Yangtsé,Bas-Droite

