question,reponse1,reponse2,reponse3,reponse4,bonne
En quelle année a eu lieu la chute du mur de Berlin ?,1987,1989,1991,1993,Haut-Droite
Quel est le symbole chimique du potassium ?,Na,Ca,Fe,K,Bas-Droite
Qui a écrit "Les Misérables" ?,Victor Hugo,Émile Zola,Alexandre Dumas,Gustave Flaubert,Haut-Gauche
Quel est l’élément le plus léger du tableau périodique ?,Hydrogène,Helium,Oxygène,Carbone,Haut-Gauche
Quel est le plus grand désert du monde ?,Gobi,Sahara,Antarctique,Arctique,Bas-Gauche
Combien y a t-il de bits dans un octet ?,4,16,32,8,Bas-Droite
Quel est le symbole chimique de l’or ?,Au,Ag,Fe,Or,Haut-Gauche
Quel est le point culminant de l’Afrique ?,Mont-Blanc,Kilimandjaro,Everest,Atlas,Haut-Droite
Qui a découvert la loi de la gravitation universelle ?,Galilée,Newton,Kepler,Einstein,Haut-Droite
Quel est le plus petit état du monde ?,Monaco,Nauru,Vatican,Malte,Bas-Gauche
En quelle année a eu lieu le premier pas sur la lune ?,1969,1965,1970,1967,Haut-Gauche
Combien de planètes y a t-il dans le système solaire ?,10,9,7,8,Bas-Droite


